date_ny,S_open,S_close,call_ticker,put_ticker,strike_call,strike_put,expiry,days_to_exp,call_vol,put_vol,total_vol,call_price,put_price,call_iv,put_iv,avg_iv,call_vega,put_vega,avg_vega
2022-12-27,382.79,381.4,O:SPY221228C00381000,O:SPY221228P00381000,381.0,381.0,2022-12-28,1,53762,98161,151923,1.82,1.2,0.2025256462812423,0.1747299467444419,0.1886277965128421,0.0792104917347938,0.0790776036644586,0.0791440476996262
2022-12-28,381.33,376.66,O:SPY221229C00377000,O:SPY221229P00377000,377.0,377.0,2022-12-29,1,20491,71917,92408,1.83,1.6,0.2535842632174492,0.1809102655529976,0.2172472643852234,0.0785047809487359,0.0783308308612356,0.0784178059049857
2022-12-29,379.63,383.44,O:SPY221230C00383000,O:SPY221230P00383000,383.0,383.0,2022-12-30,1,91907,110647,202554,1.82,1.41,0.198735453659296,0.2025070502519607,0.2006212519556283,0.0795353813160496,0.0795532206968005,0.0795443010064251
2022-12-30,380.64,382.43,O:SPY230103C00382000,O:SPY230103P00382000,382.0,382.0,2023-01-03,4,63504,22997,86501,2.6,1.57,0.1490267475217581,0.111306758415699,0.1301667529687285,0.159205787136345,0.1588801567941619,0.1590429719652535
2023-01-03,384.37,380.82,O:SPY230104C00381000,O:SPY230104P00381000,381.0,381.0,2023-01-04,1,65700,38396,104096,1.79,2.38,0.2361878566324711,0.2877662683486939,0.2619770624905825,0.0794804699701833,0.0794986856194825,0.0794895777948329
2023-01-04,383.18,383.76,O:SPY230105C00384000,O:SPY230105P00384000,384.0,384.0,2023-01-05,1,70546,53825,124371,1.49,1.74,0.2004929572343826,0.2017426461637019,0.2011178016990423,0.0800170301799114,0.0800187701657145,0.0800179001728129
2023-01-05,381.72,379.38,O:SPY230106C00379000,O:SPY230106P00379000,379.0,379.0,2023-01-06,1,35077,96655,131732,2.92,2.41,0.3442524225234986,0.3278070955514908,0.3360297590374947,0.0790553331046027,0.0790430583091339,0.0790491957068683
2023-01-06,382.61,388.08,O:SPY230109C00388000,O:SPY230109P00388000,388.0,388.0,2023-01-09,3,73431,65327,138758,1.54,1.73,0.1068547974824905,0.126096859973669,0.1164758287280798,0.1403128067402579,0.1403211183054242,0.140316962522841
2023-01-09,390.37,387.86,O:SPY230110C00388000,O:SPY230110P00388000,388.0,388.0,2023-01-10,1,19472,85571,105043,1.68,1.92,0.2159244429945945,0.2282754249811172,0.2220999339878559,0.0809633837902155,0.0809675774700589,0.0809654806301372
2023-01-10,387.25,390.58,O:SPY230111C00391000,O:SPY230111P00391000,391.0,391.0,2023-01-11,1,71900,20061,91961,1.29,1.69,0.1826643717765808,0.1801975369691849,0.1814309543728828,0.0810883115968974,0.0810742152650837,0.0810812634309906
2023-01-11,392.23,395.52,O:SPY230112C00396000,O:SPY230112P00396000,396.0,396.0,2023-01-12,1,19039,7675,26714,3.79,4.12,0.4871135565519333,0.4689400505125523,0.4780268035322428,0.0825408227975885,0.082533935586633,0.0825373791921108
2023-01-12,396.67,396.96,O:SPY230113C00397000,O:SPY230113P00397000,397.0,397.0,2023-01-13,1,130927,83093,214020,1.72,1.59,0.2098943228840828,0.1893854058980941,0.1996398643910885,0.0828910121422388,0.0828904486653218,0.0828907304037803
2023-01-13,393.62,398.5,O:SPY230117C00399000,O:SPY230117P00399000,399.0,399.0,2023-01-17,4,54323,15277,69600,1.11,1.88,0.0807804823100566,0.0971427529782056,0.0889616176441311,0.1647085034501497,0.1652673916863019,0.1649879475682258
2023-01-17,398.48,397.77,O:SPY230118C00398000,O:SPY230118P00398000,398.0,398.0,2023-01-18,1,77706,111467,189173,1.47,1.78,0.1904498497664928,0.2000940366446971,0.195271943205595,0.082944121839202,0.0829571346962996,0.0829506282677508
2023-01-18,399.01,391.49,O:SPY230119C00391000,O:SPY230119P00391000,391.0,391.0,2023-01-19,1,7965,44906,52871,1.87,1.31,0.1974557249903678,0.1888214455485344,0.1931385852694511,0.0810994544537308,0.08104386571924,0.0810716600864854
2023-01-19,389.36,388.64,O:SPY230120C00389000,O:SPY230120P00389000,389.0,389.0,2023-01-20,1,110809,208992,319801,1.53,1.62,0.2098683957278729,0.1764726092576981,0.1931705024927855,0.0809026980040314,0.0807840875391476,0.0808433927715895
2023-01-20,390.1,395.88,O:SPY230123C00396000,O:SPY230123P00396000,396.0,396.0,2023-01-23,3,67817,13072,80889,1.41,1.72,0.1025970220088958,0.1158712789684534,0.1092341504886746,0.1431259527448737,0.1431419384357874,0.1431339455903305
2023-01-23,396.72,400.63,O:SPY230124C00401000,O:SPY230124P00401000,401.0,401.0,2023-01-24,1,107879,57311,165190,1.32,1.86,0.1789485632717609,0.1993489438176155,0.1891487535446882,0.0832901503824936,0.0833685195102216,0.0833293349463576
2023-01-24,398.88,400.2,O:SPY230125C00400000,O:SPY230125P00400000,400.0,400.0,2023-01-25,1,135388,108784,244172,2.21,1.14,0.2523728391945362,0.148111518907547,0.2002421790510416,0.083485634558962,0.0833731301490425,0.0834293823540023
2023-01-25,395.95,400.35,O:SPY230126C00400000,O:SPY230126P00400000,400.0,400.0,2023-01-26,1,132219,38953,171172,1.74,1.61,0.1865369948744774,0.2129573034763336,0.1997471491754054,0.0832273272425118,0.0833047762814976,0.0832660517620047
2023-01-26,403.13,404.75,O:SPY230127C00405000,O:SPY230127P00405000,405.0,405.0,2023-01-27,1,223592,13636,237228,1.36,2.0,0.1752511719882488,0.2214642716407776,0.1983577218145132,0.0843521346824166,0.0844230700482279,0.0843876023653222
2023-01-27,403.655,405.68,O:SPY230130C00406000,O:SPY230130P00406000,406.0,406.0,2023-01-30,3,150053,102191,252244,1.41,1.68,0.1066056285709142,0.1031874459385872,0.1048965372547507,0.1462947403403862,0.1462620624065453,0.1462784013734657
2023-01-30,402.8,400.59,O:SPY230131C00401000,O:SPY230131P00401000,401.0,401.0,2023-01-31,1,47535,106222,153757,1.8,1.54,0.2387700225830078,0.1583084012329578,0.1985392119079828,0.0834108539299361,0.0830563121638752,0.0832335830469056
2023-01-31,401.13,406.48,O:SPY230201C00406000,O:SPY230201P00406000,406.0,406.0,2023-02-01,1,34344,8944,43288,2.65,2.77,0.2832030888557434,0.3541158279776574,0.3186594584167004,0.0845579925654676,0.0846535497733089,0.0846057711693883
